# ===== 1. 오브젝트 (경로 | 활성 | 월드 좌표/회전/스케일 | 컴포넌트) =====
Audio | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
Systems.EventDirector.sequencer = scene:Systems:PhaseSequencer
Systems.GameFlowController.attackScheduler = scene:Systems:AttackScheduler
Systems.GameFlowController.config = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Systems.GameFlowController.phaseSequencer = scene:Systems:PhaseSequencer
Systems.GameFlowController.player = scene:Player:PlayerController
Systems.GameFlowController.prologueDirector = scene:Directors/PrologueDirector:PrologueDirector
Systems.GameFlowController.sanity = scene:Systems:Sanity
Systems.GameFlowController.titleScreen = scene:Screens/TitleScreen:TitleScreenView
Systems.PhaseSequencer.phaseTable = asset:Assets/_Project/Data/PhaseTable.asset#PhaseTable:PhaseTable
Systems.SaltCorners.cornerTransforms.Array.data[0] = scene:Room/SaltCorner_0:Transform
Systems.SaltCorners.cornerTransforms.Array.data[1] = scene:Room/SaltCorner_1:Transform
Systems.SaltCorners.cornerTransforms.Array.data[2] = scene:Room/SaltCorner_2:Transform
Systems.SaltCorners.cornerTransforms.Array.data[3] = scene:Room/SaltCorner_3:Transform
Systems.SaltCorners.talisman = scene:Systems:Talisman
Systems.Sanity.config = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Systems.Sanity.player = scene:Player:PlayerController
Systems.Sanity.salt = scene:Systems:SaltCorners
Systems.Sanity.sequencer = scene:Systems:PhaseSequencer
Systems.Sanity.talisman = scene:Systems:Talisman
Systems.Sanity.tv = scene:Room/TV:TvInteractable
Systems.Talisman.config = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Systems.Talisman.salt = scene:Systems:SaltCorners
Systems.Talisman.sanity = scene:Systems:Sanity
UI/DialogueBox.DialogueBoxView.advanceIndicator = scene:UI/DialogueBox/Root/AdvanceIndicator:TextMeshProUGUI
UI/DialogueBox.DialogueBoxView.bodyLabel = scene:UI/DialogueBox/Root/Body:TextMeshProUGUI
UI/DialogueBox.DialogueBoxView.nameLabel = scene:UI/DialogueBox/Root/NamePanel/NameLabel:TextMeshProUGUI
UI/DialogueBox.DialogueBoxView.namePanel = scene:UI/DialogueBox/Root/NamePanel:GameObject
UI/DialogueBox.DialogueBoxView.portrait = scene:UI/DialogueBox/Root/Portrait:Image
UI/DialogueBox.DialogueBoxView.portraits.Array.data[0].sprite = asset:Assets/_Project/Art/Portraits/portrait_grandfather.png#portrait_grandfather_0:Sprite
UI/DialogueBox.DialogueBoxView.portraits.Array.data[1].sprite = asset:Assets/_Project/Art/Portraits/portrait_grandmother.png#portrait_grandmother_0:Sprite
UI/DialogueBox.DialogueBoxView.portraits.Array.data[2].sprite = asset:Assets/_Project/Art/Portraits/portrait_boy.png#portrait_boy_0:Sprite
UI/DialogueBox.DialogueBoxView.portraits.Array.data[3].sprite = asset:Assets/_Project/Art/Portraits/portrait_shaman.png#portrait_shaman_0:Sprite
UI/DialogueBox.DialogueBoxView.root = scene:UI/DialogueBox/Root:GameObject
UI/DialogueBox.DialogueBoxView.skipHint = scene:UI/DialogueBox/SkipHint:GameObject
UI/DoorHint.DoorHintView.door = scene:Room/Door:DoorInteractable
UI/DoorHint.DoorHintView.keyGlyph = scene:UI/DoorHint/Row/Keycap/KeyLabel:TextMeshProUGUI
UI/DoorHint.DoorHintView.label = scene:UI/DoorHint/Row/Label:TextMeshProUGUI
UI/DoorHint.DoorHintView.root = scene:UI/DoorHint/Row:GameObject
UI/HeartView.HeartView.heart = scene:UI/HeartView:Image
UI/InteractPrompt.InteractPromptView.interaction = scene:Player:PlayerInteraction
UI/InteractPrompt.InteractPromptView.label = scene:UI/InteractPrompt/Row/Label:TextMeshProUGUI
UI/InteractPrompt.InteractPromptView.promptRoot = scene:UI/InteractPrompt/Row:GameObject
UI/PrayerHint.PrayerHintView.arrowKeys.Array.data[0] = scene:UI/PrayerHint/Root/Keyboard/KeyUp:Image
UI/PrayerHint.PrayerHintView.arrowKeys.Array.data[1] = scene:UI/PrayerHint/Root/Keyboard/KeyDown:Image
UI/PrayerHint.PrayerHintView.arrowKeys.Array.data[2] = scene:UI/PrayerHint/Root/Keyboard/KeyLeft:Image
UI/PrayerHint.PrayerHintView.arrowKeys.Array.data[3] = scene:UI/PrayerHint/Root/Keyboard/KeyRight:Image
UI/PrayerHint.PrayerHintView.keyboardGroup = scene:UI/PrayerHint/Root/Keyboard:GameObject
UI/PrayerHint.PrayerHintView.root = scene:UI/PrayerHint/Root:GameObject
UI/PrayerHint.PrayerHintView.touchGroup = scene:UI/PrayerHint/Root/Touch:GameObject
UI/PrayerHint.PrayerHintView.touchKnob = scene:UI/PrayerHint/Root/Touch/StickRing/StickKnob:RectTransform
UI/SubtitleView.SubtitleView.label = scene:UI/SubtitleView/Label:TextMeshProUGUI
UI/TalismanStatus.TalismanStatusView.stageSprites.Array.data[0] = asset:Assets/_Project/Art/UI/ui_talisman_status_0.png#ui_talisman_status_0_0:Sprite
UI/TalismanStatus.TalismanStatusView.stageSprites.Array.data[1] = asset:Assets/_Project/Art/UI/ui_talisman_status_1.png#ui_talisman_status_1_0:Sprite
UI/TalismanStatus.TalismanStatusView.stageSprites.Array.data[2] = asset:Assets/_Project/Art/UI/ui_talisman_status_2.png#ui_talisman_status_2_0:Sprite
UI/TalismanStatus.TalismanStatusView.stageSprites.Array.data[3] = asset:Assets/_Project/Art/UI/ui_talisman_status_3.png#ui_talisman_status_3_0:Sprite
UI/TalismanStatus.TalismanStatusView.stageSprites.Array.data[4] = asset:Assets/_Project/Art/UI/ui_talisman_status_4.png#ui_talisman_status_4_0:Sprite
UI/TalismanStatus.TalismanStatusView.talisman = scene:UI/TalismanStatus:Image
UI/TouchControls.TouchControlsView.controlsRoot = scene:UI/TouchControls/Controls:GameObject
UI/TouchControls.TouchControlsView.flow = scene:Systems:GameFlowController
UI/TouchControls.TouchControlsView.interactButton = scene:UI/TouchControls/Controls/InteractButton:RectTransform
UI/TouchControls.TouchControlsView.interactButtonRoot = scene:UI/TouchControls/Controls/InteractButton:GameObject
UI/TouchControls.TouchControlsView.interactLabel = scene:UI/TouchControls/Controls/InteractButton/Label:TextMeshProUGUI
UI/TouchControls.TouchControlsView.interaction = scene:Player:PlayerInteraction
UI/TouchControls.TouchControlsView.keyboardHints.Array.data[0] = scene:Screens/GameOverScreen/Root/Hint:TextMeshProUGUI
UI/TouchControls.TouchControlsView.keyboardHints.Array.data[1] = scene:Screens/EndingScreen/Root/Hint:TextMeshProUGUI
UI/TouchControls.TouchControlsView.mobileAudioHint = scene:Screens/TitleScreen/Root/MobileAudioHint:GameObject
UI/TouchControls.TouchControlsView.stickBase = scene:UI/TouchControls/Controls/StickBase:RectTransform
UI/TouchControls.TouchControlsView.stickKnob = scene:UI/TouchControls/Controls/StickBase/Knob:RectTransform

# ===== 요약: 오브젝트 193 / 참조 필드 230 / 그중 NULL 1 =====
